Camera Details,Rating,Warranty,is_5G,Storage_expandable,RAM_in_GB,ROM_in_GB,Display_type,Display_size_in_inch,Rear_camera_in_MP,Front_camera_in_MP,Battery_capacity_in_mAh,Processor_brand,Total_Ratings,Total_Reviews,product_brand
87,4.4,1.0,1,0,8.0,128.0,2,6.4,50.0,16.0,4500.0,0,35960.0,3810.0,19
26,4.3,1.0,0,0,3.0,32.0,6,6.52,13.0,8.0,6000.0,3,4832.0,304.0,19
100,4.3,1.0,1,0,6.0,128.0,2,6.67,50.0,50.0,5000.0,2,1059.0,79.0,19
131,4.2,1.0,0,0,4.0,64.0,6,6.5,8.0,5.0,5000.0,4,7991.0,421.0,19
1,4.4,1.0,1,0,8.0,128.0,3,6.7,100.0,16.0,5000.0,0,95020.0,7129.0,19
1,4.4,1.0,1,0,8.0,128.0,3,6.7,100.0,16.0,5000.0,0,95020.0,7129.0,19
87,4.4,1.0,1,0,8.0,128.0,2,6.4,50.0,16.0,4500.0,0,35960.0,3810.0,19
7,4.1,1.0,0,0,4.0,128.0,5,6.74,108.0,8.0,5000.0,4,25114.0,1596.0,19
124,4.3,1.0,0,0,8.0,256.0,3,6.57,64.0,32.0,4200.0,3,11248.0,1170.0,19
73,4.3,1.0,0,0,8.0,128.0,3,6.4,50.0,16.0,5000.0,1,12760.0,865.0,19
6,4.3,1.0,1,0,8.0,256.0,3,6.72,108.0,16.0,5000.0,0,72693.0,5468.0,19
115,4.4,1.0,0,0,8.0,128.0,3,6.72,64.0,8.0,5000.0,1,32856.0,1792.0,19
115,4.4,1.0,1,0,6.0,128.0,3,6.72,64.0,8.0,5000.0,0,137612.0,8427.0,19
10,4.4,1.0,1,0,6.0,128.0,3,6.7,108.0,16.0,5000.0,0,35245.0,2931.0,19
47,4.3,1.0,0,0,4.0,128.0,6,6.52,48.0,8.0,6000.0,1,526955.0,38877.0,19
1,4.4,1.0,1,0,8.0,128.0,3,6.7,100.0,16.0,5000.0,0,95020.0,7129.0,19
71,4.4,1.0,0,0,4.0,64.0,6,6.5,50.0,8.0,5000.0,4,139815.0,5844.0,19
124,4.2,1.0,0,0,12.0,256.0,3,6.57,64.0,32.0,4200.0,3,3187.0,346.0,19
73,4.3,1.0,1,0,8.0,256.0,3,6.72,50.0,16.0,5000.0,0,602.0,32.0,19
115,4.3,1.0,0,0,6.0,64.0,3,6.72,64.0,8.0,5000.0,1,19744.0,1214.0,19
125,4.3,1.0,0,0,6.0,128.0,0,6.72,64.0,64.0,5000.0,2,7432.0,389.0,19
70,4.4,1.0,0,0,4.0,64.0,3,6.6,50.0,16.0,5000.0,1,18591.0,1143.0,19
70,4.3,1.0,0,0,6.0,128.0,3,6.6,50.0,16.0,5000.0,1,14392.0,902.0,19
47,4.3,1.0,0,0,4.0,128.0,6,6.52,48.0,8.0,6000.0,1,526955.0,38877.0,19
